
income,1,2,3,4,5
850,184 ,269 ,319 ,352 ,382 ,409
900,193 ,282 ,334 ,369 ,400 ,428
950,202 ,294 ,349 ,386 ,418 ,447
1000,211 ,307 ,364 ,402 ,436 ,467
1050,220 ,320 ,379 ,419 ,455 ,486
1100,228 ,333 ,395 ,436 ,473 ,506
1150,237 ,346 ,410 ,453 ,491 ,525
1200,246 ,359 ,425 ,470 ,509 ,545
1250,255 ,372 ,440 ,487 ,528 ,565
1300,264 ,385 ,456 ,504 ,546 ,584
1350,273 ,397 ,471 ,520 ,564 ,603
1400,281 ,410 ,486 ,537 ,582 ,622
1450,290 ,422 ,500 ,553 ,599 ,641
1500,298 ,435 ,515 ,569 ,617 ,660
1550,307 ,447 ,530 ,586 ,635 ,679
1600,315 ,460 ,545 ,602 ,652 ,698
1650,324 ,472 ,559 ,618 ,670 ,717
1700,333 ,485 ,574 ,634 ,688 ,736
1750,341 ,497 ,589 ,651 ,705 ,755
1800,350 ,510 ,604 ,667 ,723 ,774
1850,358 ,522 ,619 ,683 ,741 ,793
1900,367 ,535 ,633 ,700 ,759 ,812
1950,375 ,547 ,648 ,716 ,776 ,830
2000,383 ,558 ,661 ,730 ,792 ,847
2050,391 ,570 ,674 ,745 ,807 ,864
2100,399 ,581 ,687 ,759 ,823 ,881
2150,407 ,592 ,700 ,774 ,839 ,898
2200,415 ,604 ,714 ,789 ,855 ,915
2250,423 ,615 ,727 ,803 ,871 ,931
2300,431 ,626 ,740 ,818 ,886 ,948
2350,439 ,638 ,753 ,832 ,902 ,965
2400,447 ,649 ,766 ,847 ,918 ,982
2450,455 ,660 ,779 ,861 ,934 ,999
2500,462 ,672 ,793 ,876 ,949 ,1016
2550,470 ,683 ,806 ,890 ,965 ,1033
2600,479 ,694 ,819 ,905 ,981 ,1050
2650,487 ,706 ,833 ,920 ,997 ,1067
2700,495 ,718 ,846 ,935 ,1013 ,1084
2750,503 ,729 ,859 ,950 ,1029 ,1101
2800,511 ,741 ,873 ,964 ,1045 ,1119
2850,519 ,752 ,886 ,979 ,1061 ,1136
2900,527 ,763 ,898 ,993 ,1076 ,1151
2950,533 ,772 ,910 ,1005 ,1089 ,1166
3000,540 ,782 ,921 ,1017 ,1103 ,1180
3050,547 ,792 ,932 ,1030 ,1116 ,1194
3100,554 ,801 ,943 ,1042 ,1130 ,1209
3150,560 ,811 ,954 ,1054 ,1143 ,1223
3200,567 ,821 ,965 ,1067 ,1156 ,1237
3250,574 ,831 ,977 ,1080 ,1171 ,1253
3300,581 ,841 ,989 ,1093 ,1185 ,1268
3350,589 ,851 ,1002 ,1107 ,1200 ,1284
3400,596 ,862 ,1014 ,1120 ,1214 ,1299
3450,603 ,872 ,1026 ,1133 ,1229 ,1315
3500,610 ,882 ,1038 ,1147 ,1243 ,1330
3550,617 ,892 ,1050 ,1160 ,1258 ,1346
3600,624 ,903 ,1062 ,1173 ,1272 ,1361
3650,631 ,913 ,1074 ,1187 ,1287 ,1377
3700,638 ,923 ,1086 ,1200 ,1301 ,1392
3750,645 ,934 ,1098 ,1214 ,1315 ,1408
3800,652 ,944 ,1110 ,1227 ,1330 ,1423
3850,660 ,954 ,1122 ,1240 ,1344 ,1439
3900,667 ,964 ,1135 ,1254 ,1359 ,1454
3950,673 ,973 ,1145 ,1266 ,1372 ,1468
4000,677 ,980 ,1153 ,1274 ,1381 ,1478
4050,682 ,987 ,1161 ,1283 ,1391 ,1488
4100,686 ,993 ,1169 ,1292 ,1400 ,1498
4150,691 ,1000 ,1177 ,1301 ,1410 ,1509
4200,695 ,1006 ,1185 ,1310 ,1420 ,1519
4250,700 ,1013 ,1193 ,1318 ,1429 ,1529
4300,704 ,1020 ,1201 ,1327 ,1439 ,1539
4350,708 ,1026 ,1209 ,1336 ,1448 ,1550
4400,713 ,1033 ,1217 ,1345 ,1458 ,1560
4450,717 ,1039 ,1225 ,1354 ,1467 ,1570
4500,722 ,1046 ,1233 ,1362 ,1477 ,1580
4550,726 ,1053 ,1241 ,1371 ,1486 ,1590
4600,731 ,1059 ,1249 ,1380 ,1496 ,1601
4650,735 ,1066 ,1257 ,1389 ,1505 ,1611
4700,739 ,1071 ,1262 ,1395 ,1512 ,1618
4750,742 ,1075 ,1267 ,1400 ,1517 ,1623
4800,745 ,1079 ,1271 ,1405 ,1523 ,1629
4850,748 ,1083 ,1276 ,1410 ,1528 ,1635
4900,751 ,1088 ,1280 ,1415 ,1533 ,1641
4950,755 ,1092 ,1285 ,1420 ,1539 ,1647
5000,758 ,1096 ,1289 ,1425 ,1544 ,1652
5050,761 ,1100 ,1294 ,1430 ,1550 ,1658
5100,764 ,1105 ,1298 ,1435 ,1555 ,1664
5150,768 ,1109 ,1303 ,1440 ,1560 ,1670
5200,771 ,1113 ,1307 ,1445 ,1566 ,1676
5250,774 ,1117 ,1312 ,1450 ,1571 ,1681
5300,777 ,1122 ,1316 ,1455 ,1577 ,1687
5350,781 ,1126 ,1321 ,1460 ,1582 ,1693
5400,784 ,1130 ,1326 ,1465 ,1588 ,1699
5450,787 ,1135 ,1331 ,1470 ,1594 ,1705
5500,790 ,1139 ,1336 ,1476 ,1600 ,1712
5550,792 ,1143 ,1341 ,1482 ,1606 ,1718
5600,795 ,1147 ,1346 ,1487 ,1612 ,1725
5650,798 ,1152 ,1351 ,1493 ,1618 ,1731
5700,801 ,1156 ,1356 ,1498 ,1624 ,1738
5750,804 ,1160 ,1361 ,1504 ,1630 ,1744
5800,807 ,1164 ,1365 ,1509 ,1636 ,1750
5850,809 ,1168 ,1370 ,1514 ,1641 ,1756
5900,812 ,1172 ,1375 ,1520 ,1647 ,1762
5950,815 ,1176 ,1380 ,1525 ,1653 ,1769
6000,818 ,1180 ,1385 ,1530 ,1659 ,1775
6050,820 ,1184 ,1390 ,1536 ,1664 ,1781
6100,823 ,1188 ,1394 ,1541 ,1670 ,1787
6150,826 ,1193 ,1400 ,1547 ,1677 ,1794
6200,831 ,1199 ,1407 ,1555 ,1686 ,1804
6250,836 ,1206 ,1415 ,1563 ,1695 ,1813
6300,840 ,1212 ,1422 ,1572 ,1704 ,1823
6350,845 ,1219 ,1430 ,1580 ,1713 ,1833
6400,849 ,1225 ,1437 ,1588 ,1722 ,1842
