income,1,2,3,4,5,6
0,50,70,90,110,130,150
1100,216,335,410,458,504,547
1150,225,348,427,477,524,570
1200,234,362,443,495,545,592
1250,243,375,460,513,565,614
1300,251,389,476,532,585,636
1350,260,402,492,550,605,658
1400,269,416,509,568,625,680
1450,277,429,525,587,645,701
1500,286,442,541,604,665,723
1550,294,455,556,622,684,743
1600,302,467,572,639,703,764
1650,310,480,587,656,721,784
1700,319,492,602,673,740,805
1750,327,505,618,690,759,825
1800,335,518,634,708,778,846
1850,343,530,649,725,798,867
1900,352,543,665,742,817,888
1950,360,556,680,760,836,908
2000,368,569,696,777,855,929
2050,377,581,711,794,874,950
2100,385,594,727,812,893,971
2150,393,607,742,829,912,991
2200,401,620,758,847,931,1012
2250,410,632,773,864,950,1033
2300,418,645,789,881,969,1054
2350,426,658,804,899,988,1074
2400,435,671,820,916,1007,1095
2450,443,683,835,933,1026,1116
2500,451,696,851,950,1045,1136
2550,459,709,866,968,1064,1157
2600,468,722,882,985,1084,1178
2650,476,734,897,1002,1103,1198
2700,484,747,913,1020,1122,1219
2750,493,760,928,1037,1141,1240
2800,501,772,944,1054,1160,1261
2850,509,785,959,1071,1179,1281
2900,517,797,974,1087,1196,1300
2950,525,809,988,1103,1213,1319
3000,533,821,1002,1119,1231,1338
3050,541,833,1016,1135,1248,1357
3100,548,844,1030,1150,1266,1376
3150,556,856,1044,1166,1283,1394
3200,564,868,1058,1182,1300,1413
3250,572,880,1072,1198,1318,1432
3300,580,892,1086,1214,1335,1451
3350,588,904,1101,1229,1352,1470
3400,596,915,1115,1245,1370,1489
3450,604,928,1129,1261,1388,1508
3500,612,940,1144,1278,1406,1529
3550,620,953,1160,1295,1425,1549
3600,628,965,1175,1312,1444,1569
3650,636,977,1189,1328,1460,1587
3700,643,987,1202,1342,1477,1605
3750,650,998,1215,1357,1493,1622
3800,657,1009,1228,1372,1509,1640
3850,664,1020,1241,1386,1525,1658
3900,671,1031,1254,1401,1541,1675
3950,678,1042,1267,1416,1557,1693
4000,685,1053,1280,1430,1573,1710
4050,692,1063,1294,1445,1589,1728
